ID;Sursa de venit;Categorie;Tara;Platforma;Magazin;Retea afiliere;Comision;Tip comision;Recurent;Durata cookie;Valoare estimata client;Potential trafic;Competitie;Potential SEO;Dificultate;Dificultate aprobare;Venit lunar potential;Prioritate;URL;Status
AF0012;Comision afiliere — store.boyamic.com;Afiliere;international;impact;store.boyamic.com;impact;10% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://store.boyamic.com/;activ
AF0013;Comision afiliere — mooyius.com;Afiliere;international;impact;mooyius.com;impact;12% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://mooyius.com/;activ
AF0014;Comision afiliere — laavooextensions.com;Afiliere;international;impact;laavooextensions.com;impact;14% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://laavooextensions.com;activ
AF0015;Comision afiliere — niphean.com;Afiliere;international;impact;niphean.com;impact;15% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://niphean.com;activ
AF0016;Comision afiliere — cvlife.com;Afiliere;international;impact;cvlife.com;impact;10% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://cvlife.com;activ
AF0017;Comision afiliere — tvcmall.com;Afiliere;international;impact;tvcmall.com;impact;11% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.tvcmall.com/;activ
AF0018;Comision afiliere — billionconnect.net;Afiliere;international;impact;billionconnect.net;impact;10% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.billionconnect.net/;activ
AF0019;Comision afiliere — wiskiiactive.com;Afiliere;international;impact;wiskiiactive.com;impact;10% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://wiskiiactive.com/;activ
AF0020;Comision afiliere — helloice.com;Afiliere;international;impact;helloice.com;impact;15% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.helloice.com/;activ
AF0021;Comision afiliere — comfier.com;Afiliere;international;impact;comfier.com;impact;10% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.comfier.com;activ
AF0022;Comision afiliere — jollymag.ro;Afiliere;RO;2performant;jollymag.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.jollymag.ro;activ
AF0023;Comision afiliere — gsmnet.ro;Afiliere;RO;2performant;gsmnet.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.gsmnet.ro;activ
AF0024;Comision afiliere — nadula.com;Afiliere;international;impact;nadula.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.nadula.com;activ
AF0025;Comision afiliere — klaiyihair.com;Afiliere;international;impact;klaiyihair.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.klaiyihair.com;activ
AF0026;Comision afiliere — crownandchamparesorts.com;Afiliere;international;impact;crownandchamparesorts.com;impact;6% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.crownandchamparesorts.com/;activ
AF0027;Comision afiliere — geekbuying.com;Afiliere;international;impact;geekbuying.com;impact;8% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.geekbuying.com;activ
AF0028;Comision afiliere — nh-hotels.com;Afiliere;international;impact;nh-hotels.com;impact;6% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.nh-hotels.com;activ
AF0029;Comision afiliere — navimow.com;Afiliere;international;impact;navimow.com;impact;5% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://navimow.com/;activ
AF0030;Comision afiliere — original-group.com;Afiliere;international;impact;original-group.com;impact;6% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.original-group.com/;activ
AF0031;Comision afiliere — vevor.com;Afiliere;international;impact;vevor.com;impact;5% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.vevor.com;activ
AF0032;Comision afiliere — vilagale.com;Afiliere;international;impact;vilagale.com;impact;6% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.vilagale.com;activ
AF0033;Comision afiliere — kailasgear.com;Afiliere;international;impact;kailasgear.com;impact;8% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://kailasgear.com;activ
AF0034;Comision afiliere — autofull.com;Afiliere;international;impact;autofull.com;impact;5% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://autofull.com;activ
AF0035;Comision afiliere — cllix.com;Afiliere;international;impact;cllix.com;impact;5% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.cllix.com;activ
AF0036;Comision afiliere — swiss-belhotel.com;Afiliere;international;impact;swiss-belhotel.com;impact;6% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.swiss-belhotel.com;activ
AF0037;Comision afiliere — nobilacasa.ro;Afiliere;RO;2performant;nobilacasa.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.nobilacasa.ro;activ
AF0038;Comision afiliere — fera.ro;Afiliere;RO;2performant;fera.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.fera.ro;activ
AF0039;Comision afiliere — herbagetica.ro;Afiliere;RO;2performant;herbagetica.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.herbagetica.ro;activ
AF0040;Comision afiliere — medimfarm.ro;Afiliere;RO;2performant;medimfarm.ro;2performant;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.medimfarm.ro;activ
AF0041;Comision afiliere — atzavarahotel.com;Afiliere;international;impact;atzavarahotel.com;impact;4% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.atzavarahotel.com/;activ
AF0042;Comision afiliere — insotelhotelgroup.com;Afiliere;international;impact;insotelhotelgroup.com;impact;4% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.insotelhotelgroup.com/en;activ
AF0043;Comision afiliere — gardenhotels.com;Afiliere;international;impact;gardenhotels.com;impact;4% comision;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.gardenhotels.com/;activ
AF0044;Comision afiliere — vevor.com.au;Afiliere;international;impact;vevor.com.au;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.vevor.com.au;activ
AF0045;Comision afiliere — eur.vevor.com;Afiliere;international;impact;eur.vevor.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://eur.vevor.com;activ
AF0046;Comision afiliere — store.saramonic.com;Afiliere;international;impact;store.saramonic.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://store.saramonic.com/;activ
AF0047;Comision afiliere — snailax.com;Afiliere;international;impact;snailax.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);usoara (cont activ);UNKNOWN;standard;https://www.snailax.com/;FARA LINK AFILIAT
AF0048;Comision afiliere — amazon.com;Afiliere;international;impact;amazon.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.amazon.com/dp/B0BYZXYSBX;activ
AF0049;Comision afiliere — yilitehair.com;Afiliere;international;impact;yilitehair.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.yilitehair.com;activ
AF0050;Comision afiliere — fitory.com;Afiliere;international;impact;fitory.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://fitory.com/;activ
AF0051;Comision afiliere — theomfort.com;Afiliere;international;impact;theomfort.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);usoara (cont activ);UNKNOWN;standard;https://theomfort.com;FARA LINK AFILIAT
AF0052;Comision afiliere — moresoo.com;Afiliere;international;impact;moresoo.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://moresoo.com;activ
AF0053;Comision afiliere — ugeat.com;Afiliere;international;impact;ugeat.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.ugeat.com/;activ
AF0054;Comision afiliere — vivienhair.com;Afiliere;international;impact;vivienhair.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://vivienhair.com/;activ
AF0055;Comision afiliere — ipowerqueen.de;Afiliere;international;impact;ipowerqueen.de;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.ipowerqueen.de/;activ
AF0056;Comision afiliere — redodopower.de;Afiliere;international;impact;redodopower.de;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.redodopower.de;activ
AF0057;Comision afiliere — adguard-vpn.com;Afiliere;international;impact;adguard-vpn.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://adguard-vpn.com;activ
AF0058;Comision afiliere — geetahair.com;Afiliere;international;impact;geetahair.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://geetahair.com;activ
AF0059;Comision afiliere — awolvision.de;Afiliere;international;impact;awolvision.de;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://awolvision.de;activ
AF0060;Comision afiliere — awolvision.fr;Afiliere;international;impact;awolvision.fr;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://awolvision.fr;activ
AF0061;Comision afiliere — valerion.com;Afiliere;international;impact;valerion.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.valerion.com/de;activ
AF0062;Comision afiliere — awolvision.eu;Afiliere;international;impact;awolvision.eu;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://awolvision.eu;activ
AF0063;Comision afiliere — xlaserlab.com;Afiliere;international;impact;xlaserlab.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.xlaserlab.com;activ
AF0064;Comision afiliere — kugooescooters.com;Afiliere;international;impact;kugooescooters.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.kugooescooters.com/;activ
AF0065;Comision afiliere — booking.regalhotel.com;Afiliere;international;impact;booking.regalhotel.com;impact;Online Booking: 4%;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.booking.regalhotel.com;activ
AF0066;Comision afiliere — novakidschool.com;Afiliere;international;impact;novakidschool.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://novakidschool.com;activ
AF0067;Comision afiliere — casa-andina.com;Afiliere;international;impact;casa-andina.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.casa-andina.com/;activ
AF0068;Comision afiliere — x-sense.com;Afiliere;international;impact;x-sense.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.x-sense.com/;activ
AF0069;Comision afiliere — us.lemorele.com;Afiliere;international;impact;us.lemorele.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;medie (lipseste linkul);usoara (cont activ);UNKNOWN;standard;https://us.lemorele.com;FARA LINK AFILIAT
AF0070;Comision afiliere — italki.com;Afiliere;international;impact;italki.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.italki.com;activ
AF0071;Comision afiliere — gl-inet.com;Afiliere;international;impact;gl-inet.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.gl-inet.com;activ
AF0072;Comision afiliere — savoydubai.com;Afiliere;international;impact;savoydubai.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;http://www.savoydubai.com/;activ
AF0073;Comision afiliere — youngsee.shop;Afiliere;international;impact;youngsee.shop;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://youngsee.shop/;activ
AF0074;Comision afiliere — monportlaser.com;Afiliere;international;impact;monportlaser.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://monportlaser.com/;activ
AF0075;Comision afiliere — ikier.com;Afiliere;international;impact;ikier.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://www.ikier.com;activ
AF0076;Comision afiliere — conqueco.com;Afiliere;international;impact;conqueco.com;impact;Variabil;variabil pe categorie;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;standard;https://conqueco.com;activ
AF0077;Comision afiliere — otter.ro;Afiliere;RO;2performant;otter.ro;2performant;5.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.otter.ro/;activ
AF0078;Comision afiliere — regata.ro;Afiliere;RO;2performant;regata.ro;2performant;1.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://regata.ro/;activ
AF0079;Comision afiliere — expomob.ro;Afiliere;RO;2performant;expomob.ro;2performant;7.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.expomob.ro;activ
AF0080;Comision afiliere — mobidea.ro;Afiliere;RO;2performant;mobidea.ro;2performant;5.5;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://mobidea.ro;activ
AF0081;Comision afiliere — labelshop.ro;Afiliere;RO;2performant;labelshop.ro;2performant;15.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://labelshop.ro;activ
AF0082;Comision afiliere — craftup.ro;Afiliere;RO;2performant;craftup.ro;2performant;10.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://craftup.ro/;activ
AF0083;Comision afiliere — doctorshield.ro;Afiliere;RO;2performant;doctorshield.ro;2performant;10.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://doctorshield.ro/;activ
AF0084;Comision afiliere — autobob.ro;Afiliere;RO;2performant;autobob.ro;2performant;5.5;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://autobob.ro;activ
AF0085;Comision afiliere — femieko.ro;Afiliere;RO;2performant;femieko.ro;2performant;19.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.femieko.ro;activ
AF0086;Comision afiliere — fara-daunatori.ro;Afiliere;RO;2performant;fara-daunatori.ro;2performant;10.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.fara-daunatori.ro;activ
AF0087;Comision afiliere — afisport.ro;Afiliere;RO;2performant;afisport.ro;2performant;5.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://afisport.ro/;activ
AF0088;Comision afiliere — vidaxl.bg;Afiliere;international;2performant;vidaxl.bg;2performant;5.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.vidaxl.bg;activ
AF0089;Comision afiliere — sneakerit.ro;Afiliere;RO;2performant;sneakerit.ro;2performant;8.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.sneakerit.ro/;activ
AF0090;Comision afiliere — 112coffee.com;Afiliere;international;2performant;112coffee.com;2performant;1.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://112coffee.com;activ
AF0091;Comision afiliere — jojofashion.ro;Afiliere;RO;2performant;jojofashion.ro;2performant;10.0;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;are pagina;mica (deja integrat);usoara (cont activ);UNKNOWN;#999;https://www.jojofashion.ro;activ
AF0092;Comision afiliere — surfshark.com;Afiliere;international;impact;surfshark.com;impact;40% + recurent;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;fara continut propriu;mica (deja integrat);usoara (cont activ);UNKNOWN;featured;https://surfshark.com;activ
AF0093;Comision afiliere — hostinger.ro;Afiliere;RO;impact;hostinger.ro;impact;60%;procent din vanzare;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;fara continut propriu;mica (deja integrat);usoara (cont activ);UNKNOWN;featured;https://www.hostinger.ro;activ
AF0094;Comision afiliere — shopify.com;Afiliere;international;impact;shopify.com;impact;$25-$150 per referral;suma fixa;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;UNKNOWN;fara continut propriu;mica (deja integrat);usoara (cont activ);UNKNOWN;featured;https://www.shopify.com;activ
