"advertiserId","programmeName","conversionRate","approvalRate","epc","launchDate","paymentStatus","paymentRiskLevel","awinIndex","feedEnabled","productReporting","commissionMin","commissionMax","leadMin","leadMax","cookieLength","parentSectors","subSectors","primarySector","averagePaymentTime","primaryRegion","descriptionShort","logoUrl","displayUrl"
"128677","jimmy.eu","","0.00","0.00","2026-07-22","amber","exposurelevel2","","no","yes","0","0","0","0","30","Retail & Shopping","Health & Beauty|Home & Garden","Home & Garden","null","ES","jimmy.eu is a premium home technology brand specialising in vacuum cleaners, water purifiers, and home wellness tech. Partners earn 8% commission with a 30-day cookie across a fast-growing, health-conscious European audience.","https://ui.awin.com/images/upload/merchant/profile/128677.png","https://jimmy.eu/"
"127469","Deye","","0.00","0.00","2026-06-04","amber","exposurelevel2","0","no","no","0","0","0","0","30","","Electronic Accessories|Green (Eco friendly)|Home & Garden","Green (Eco friendly)","null","DE","Lots of summer discounts and great depreciation offers","https://ui.awin.com/images/upload/merchant/profile/127469.png","https://www.deyestore.com/"
"127319","BizzBox","","0.00","0.00","2026-06-02","amber","exposurelevel1","0","no","no","0","0","0","0","30","Telco's & Services","Business Services (B2B)|Education Training & Recruitment|Entertainment Downloads","Business Services (B2B)","null","US","BizzBox.ai is the all-in-one AI-powered platform built by founders, for founders. Replace 25+ business tools with one affordable subscription across HR, finance, marketing, legal, sales, productivity and AI, helping SMBs save time, reduce costs, and scale","https://ui.awin.com/images/upload/merchant/profile/127319.png","https://www.bizzbox.ai/"
"59557","LaserPecker","4.28497","95.14","3.72","2025-08-18","green","none","79.4712","yes","yes","0","0","0","0","15","","DIY|Gifts & Flowers|Home & Garden|Jewellery|Photos & Print Services","DIY","28","US","LaserPecker revolutionizes laser engraving with portable, user-friendly machines that turn creativity into reality. Earn Up to 10% Commission per sale! Partner with LaserPecker’s affiliate program and help us promote products now!","https://ui.awin.com/images/upload/merchant/profile/59557.png","https://us.laserpecker.net/"
"118431","Vevor Rest of Europe","8.28904","79.13","0.35","2025-08-05","amber","exposurelevel2","63.265","yes","no","0","0","0","0","30","Retail & Shopping","Automotive|DIY|Electronic Accessories|Gadgets|Home & Garden|Office Supplies|Pets & Pet Care|Photos & Print Services|Sports Equipment","Home & Garden","56","DE","VEVOR is dedicated to providing DIYers and professionals with tough equipment  tool at the lowest prices. Fast delivery, 30-day free returns, and 24/7 customer service, which always meets and surpasses the expectations of our customers.","https://ui.awin.com/images/upload/merchant/profile/118431.png","https://eur.vevor.com/"
"126147","Qathu_International","","0.00","0.00","2026-05-04","amber","exposurelevel2","0","no","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","IT","Qathu is a global beauty e-commerce launched in 2025, offering 140,000+ references across all beauty categories at unbeatable prices. Worldwide DDP shipping and DGR-certified logistics.","https://ui.awin.com/images/upload/merchant/profile/126147.png","https://qathu.com/"
"124878","WAU","","0.00","0.00","2026-03-12","amber","exposurelevel2","0","yes","no","0","0","0","0","30","","Health & Beauty","Health & Beauty","null","GB","WAU Global is a premium beauty and health tech brand offering innovative, professional-grade devices for face, body, and hair care at home. Partner with us to earn a highly competitive 15% commission on our top-converting products with a strong $300 (AOV)","https://ui.awin.com/images/upload/merchant/profile/124878.png","https://wauglobal.com/"
"36144","OutIn","8.59505","83.60","3.05","2025-08-12","green","none","55.1848","yes","yes","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","67","US","OutIn is dedicated to delivering high-quality coffee anytime, anywhere. Our portable espresso machines let you enjoy fresh, rich espresso on the go, fueling your day with energy and passion.","https://ui.awin.com/images/upload/merchant/profile/36144.png","https://outin.com"
"128211","Ophelia Eternity Jewelry","","0.00","0.00","2026-06-24","amber","exposurelevel1","0","no","no","0","0","0","0","30","Retail & Shopping","Clothing Accessories|Department Stores|Group Buying|Health & Beauty|Jewellery","Jewellery","null","US","We are a handmade fine jewelry brand with Amazon & independent website sales. Promote our premium lab diamond jewelry to get a 20% sales cut, 10% tier-2 affiliate reward, 60-day cookie window and lifelong commission income on all your referred buyers.","https://ui.awin.com/images/upload/merchant/profile/128211.png","https://opheliaeternity.com"
"115481","Valerion EU","0.231471","100.00","0.08","2025-04-14","green","none","65.9056","no","no","0","0","0","0","30","Retail & Shopping","Electronic Accessories|Gadgets|Home & Garden","Electronic Accessories","124","DE","Join Valerion to promote our groundbreaking projectors! We’re looking for passionate influencers. Enjoy the opportunity to experience our products, gain early access to new releases, and unlock exclusive rewards as the program grows.","https://ui.awin.com/images/upload/merchant/profile/115481.png","https://www.valerion.com/de"
"127805","favibes","","0.00","0.00","2026-06-27","amber","exposurelevel1","0","no","no","0","0","0","0","30","Retail & Shopping","Erotic|Womenswear","Erotic","null","US","We sells high-demand lingerie, sexy costumes and party apparel for global shoppers with discreet fast shipping. Our tiered commission runs from 10% to 20% with a 30-day cookie window, bringing stable conversion and long-term revenue to Awin publishers","https://ui.awin.com/images/upload/merchant/profile/127805.png","https://favibes.com"
"127057","DATOUBOSS (DE)","","0.00","0.00","2026-05-20","amber","exposurelevel4","0","no","no","0","0","0","0","30","","DIY|Electronic Accessories|Green (Eco friendly)|Group Buying|Home & Garden|Lead Gen","Electronic Accessories","null","DE","DATOUBOSS is a fast-growing energy brand specializing in LiFePO4 batteries, inverters, and all-in-one energy storage systems.With high average order value, strong demand in backup power solutions, and competitive commissions, affiliates can benefit from","https://ui.awin.com/images/upload/merchant/profile/127057.png","https://datouboss.com/"
"75408","Nothingprojector","1.25434","15.43","0.60","2025-07-15","green","none","14.9257","yes","yes","0","0","0","0","30","","Computers|Electronic Accessories","Computers","74","US","With extensive involvement in projector and screen development spanning years, our company boasts robust experience and technical prowess, instilling confidence in our partners and customers regarding the stability and reliability of our product","https://ui.awin.com/images/upload/merchant/profile/75408.png","https://nothingprojector.com"
"88453","Wondershare Global Limited","0.338162","75.00","0.06","2025-08-12","green","none","34.0942","yes","yes","0","0","0","0","90","","Audio Visual|Computers|Music & DVD|B2B Utility Services|Digital TV & Video-on-Demand|Software Downloads|Utilities","Computers","80","US","Empowered with AI, our software and products are available in over 150 countries worldwide. We are constantly inspired by our users and strive to create simple and easy-to-use software that meets their needs.","https://ui.awin.com/images/upload/merchant/profile/88453.png","https://www.wondershare.com"
"127141","Layerline","","0.00","0.00","2026-07-16","amber","exposurelevel1","","yes","no","0","0","0","0","30","","Computers|DIY|Electronic Accessories|Gadgets|Office Supplies","Computers","null","US","Earn 5% commission promoting LayerLine — a global 3D printing marketplace with 100+ printers, filaments, and accessories from Creality, Elegoo, and Bambu Lab. Worldwide shipping, 2-year warranty, 30-day cookie, 60-day payment terms.","https://ui.awin.com/images/upload/merchant/profile/127141.png","https://layerline.io/"
"123964","Glam Spot","0.19555","30.80","0.00","2026-02-02","amber","exposurelevel4","20.0538","yes","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","91","ES","We strive to be the most trusted beauty platform globally, embodying intelligent beauty in both our brand curation and our distinctive tone of voice. Shaped by the insight of industry experts, we are a committed collective of beauty enthusiasts.","https://ui.awin.com/images/upload/merchant/profile/123964.png","https://glamspot.eu"
"126149","Papique_International","","0.00","0.00","2026-05-04","amber","exposurelevel2","0","no","no","0","0","0","0","30","Retail & Shopping","Health & Beauty","Health & Beauty","null","IT","Papique is a niche luxury perfumery e-commerce with roots dating back to 1970, online since 2023. Over 40,000 authentic niche fragrances, exclusive time-limited promotions, worldwide DDP shipping and DGR-certified logistics.","https://ui.awin.com/images/upload/merchant/profile/126149.png","https://papique.com/"
"59933","Jowissa","2.19783","92.68","1.35","2025-07-23","green","none","72.7064","yes","yes","0","0","0","0","60","Retail & Shopping","Jewellery","Jewellery","34","US","Jowissa is a Swiss watch brand. We produce Women's and Men's watches with a distinctly elegant look.
Most of our products cost between USD 150.- to USD 1000.- and we share a 17% commission on sales generated through your traffic with","https://ui.awin.com/images/upload/merchant/profile/59933.png","https://www.jowissa.com"
"102509","KuKirin-scooter","0.599436","100.00","0.10","2025-05-22","green","none","52.276","no","yes","0","0","0","0","30","Retail & Shopping","Automotive","Automotive","71","US","Partner with KuKirin and promote our premium electric scooters! Whether for daily commuting or off-road thrills, our scooters offer unmatched performance, durability, and style. Earn competitive commissions and help your audience find their Perfect Ride!","https://ui.awin.com/images/upload/merchant/profile/102509.png","https://www.kukirin-scooter.com"
"128601","dressndesign","","0.00","0.00","2026-07-14","amber","exposurelevel1","","no","no","0","0","0","0","30","","Womenswear","Womenswear","null","FR","Dress  Design is a French premium fashion brand with a unique, customer-centric concept where every woman can personalize her own dress in a few clicks, custom handmade to her size, customized to her style. We call this ""Fashion 2.0""","https://ui.awin.com/images/upload/merchant/profile/128601.png","https://dressndesign.com/"
"78586","Needs No Label","4.52546","49.46","0.06","2024-07-10","amber","exposurelevel1","40.1218","yes","no","0","0","0","0","30","Retail & Shopping","Womenswear","Womenswear","118","GB","Needs No Label offers women affordable clothing in current styles, created from quality fabric. With a focus on gorgeous prints and timeless shapes, we hope our styles become staples in your wardrobes!","https://ui.awin.com/images/upload/merchant/profile/78586.png","https://www.needsnolabel.com/"
"98661","Cronjager","0.0660502","73.33","0.05","2024-07-25","amber","exposurelevel1","0","yes","no","0","0","0","0","30","Retail & Shopping","Clothing|Clothing Accessories|Furniture & Soft Furnishings|Health & Beauty|Home & Garden|Jewellery|Menswear|Office Supplies|Pets & Pet Care|Sports Equipment|Sportswear|Womenswear","Clothing","58","GB","Fashion, Clothing, Sportswear, Sports Equipment, Jewellery, Pet Supplies, Tech, Home, Garden And Office. We added two hero collections: English Army - Fashion For Sports Fans. Irish Army is a global fashion brand.","https://ui.awin.com/images/upload/merchant/profile/98661.png","https://cronjager.com"
"77156","Gshopper","0.385814","89.86","0.08","2025-07-01","green","none","58.1624","yes","yes","0","0","0","0","30","Retail & Shopping","Computers|Department Stores|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Gadgets|Home & Garden|Office Supplies|PC & Video Games|Pets & Pet Care|Photography|Photos & Print Services|Sports Equipment|Toys & Games|White Goods","Electronic Superstore","47","US","Welcome to the Gshopper Affiliate ProgramEarn high commissions by referring customers to Gshopper.com.Join now","https://ui.awin.com/images/upload/merchant/profile/77156.png","https://www.gshopper.com"
"40456","Lunzo RO","2.79798","43.32","0.01","2023-03-02","amber","exposurelevel2","48.9612","yes","no","0","0","0","0","25","Retail & Shopping","Audio Visual|Automotive|Books & Subscriptions|Childrenswear|Clothing|Clothing Accessories|Computers|Department Stores|DIY|Electronic Accessories|Electronic Superstore|Entertainment Superstore|Erotic|FMCG|Furniture & Soft Furnishings|Gadgets|Gifts & Flowers|Green (Eco friendly)|Group Buying|Health & Beauty|Home & Garden|Jewellery|Lead Gen|Lingerie|Menswear|Music & DVD|Office Supplies|PC & Video Games|Pets & Pet Care|Pharmaceuticals|Photography|Photos & Print Services|Shoes|Sports Equipment|Sportswear|Toys & Games|White Goods|Wine Spirits & Tobacco|Womenswear|Baby & Toddler","Entertainment Superstore","79","RO","Lunzo.ro offers thousands of high-quality and affordable products.","https://ui.awin.com/images/upload/merchant/profile/40456.png","https://www.lunzo.ro"
"127855","Italist","","0.00","0.00","2026-07-01","amber","exposurelevel2","0","no","no","0","0","0","0","30","Retail & Shopping","Clothing|Clothing Accessories","Clothing","null","US","Luxury Italian fashion from 500+ authenticated boutiques. Shop Gucci, Prada, Versace, and more — at competitive prices with competitive CPA, 30-day cookie, and a $900 average order value.","https://ui.awin.com/images/upload/merchant/profile/127855.png","https://italist.com/"
"110224","Dewycream Inc","4.0407","100.00","0.18","2025-07-23","green","none","87.059","no","yes","0","0","0","0","90","Retail & Shopping","Health & Beauty","Health & Beauty","20","US","Terez  Honor. No. 1 Korean Eye Care Solution. Korean skincare brand.","https://ui.awin.com/images/upload/merchant/profile/110224.png","https://terezandhonor.com"
"113886","Sexonic DE","6.90567","68.18","0.12","2025-03-10","amber","exposurelevel4","74.9333","yes","no","0","0","0","0","30","Retail & Shopping","Erotic","Erotic","null","DE","Welcome to Sexonic, the premier intimate wellness retailer in the Europe. With a strong online presence, fast shipping we bring you a curated selection of products designed to enhance your pleasure.","https://ui.awin.com/images/upload/merchant/profile/113886.png","https://sexonic.eu/"
"101823","Trotec - Eastern Europe","1.75357","100.00","0.14","2025-02-07","amber","exposurelevel1","46.7673","yes","no","0","0","0","0","30","Retail & Shopping","Home & Garden","Home & Garden","118","HR","Trotec is one of the world's leading providers of high-quality branded products in the fields of air treatment, measurement technology, and power tools, offering an unbeatable price-performance ratio.","https://ui.awin.com/images/upload/merchant/profile/101823.png","https://pl.trotec.com/shop/"
"128809","COLAMY.EU","","0.00","0.00","2026-07-30","amber","exposurelevel1","","no","no","0","0","0","0","30","","Furniture & Soft Furnishings|Office Supplies","Furniture & Soft Furnishings","null","DE","Earn 6% commission on premium ergonomic chairs & dining chairs with 30‑day cookies. Join COLAMY.EU to promote stylish, comfortable seating for home and office. Flexible channels welcome.","https://ui.awin.com/images/upload/merchant/profile/128809.png","https://colamyhome.eu/"
"127997","New Learning Network","","0.00","0.00","2026-06-19","amber","exposurelevel1","0","no","no","0","0","0","0","30","","Education Training & Recruitment|Software Downloads|Tourism & Attractions","Education, Training & Recruitment","null","US","Multi Lingual Learning Platform 
> Commission: 30% base commission +40% launch bonus available
> Cookie duration: 30 days
> New Partners - 50% off with code "" LINGZIO50 ""","https://ui.awin.com/images/upload/merchant/profile/127997.png","https://lingzio.com/"
"126881","Nutrinixy - AI Calorie Tracker","","0.00","0.00","2026-05-14","amber","exposurelevel1","0","no","no","0","0","0","0","30","","Health & Beauty|Lead Gen|Business Services (B2B)|Entertainment Downloads|Lead Gen|Mobile Downloads|Mobile Pay As You Go|Software Downloads","Health & Beauty","null","US","Affiliate Terms: RevShare model with 30% LIFETIME payout. Earn recurring commissions from every subscription and all future renewals made by referred users. GEO: Worldwide (WW).","https://ui.awin.com/images/upload/merchant/profile/126881.png","https://nutrinixy.com/"
"123706","Ouros Jewels","4.31104","100.00","0.90","2026-02-06","amber","exposurelevel2","69.401","no","yes","0","0","0","0","30","","Childrenswear|Gifts & Flowers|Jewellery|Menswear|Womenswear","Jewellery","66","US","Ouros Jewels offers affordable lab grown diamond jewelry, including engagement rings and fine jewelry. IGI-certified diamonds, high average order value, global shipping, and 30-day tracking for affiliates.","https://ui.awin.com/images/upload/merchant/profile/123706.png","https://ourosjewels.com/"
"90211","Fast Technology Limited","1.18601","27.43","0.09","2025-08-05","green","none","19.5405","yes","yes","0","0","0","0","90","Retail & Shopping","Computers","Computers","71","US","About FastestVPNFastestVPN is one of the leading VPN service providers in the world, allowing users across the globe to anonymously and privately browse the web without restrictions.","https://ui.awin.com/images/upload/merchant/profile/90211.png","https://fastestvpn.com"
